12,12,12,12,12,12,19,19,19,19,19,19,19,19,19,19
14,14,14,14,14,12,20,20,20,20,20,20,16,16,16,16
13,13,13,13,14,12,1,1,1,1,1,20,20,20,20,20
11,11,11,13,14,12,21,21,21,21,21,21,21,21,17,17
9,9,11,13,2,2,2,2,2,2,2,2,25,21,17,7
8,9,11,13,25,25,25,25,25,25,25,25,25,21,17,7
8,9,11,13,13,13,13,13,13,13,13,13,13,21,17,7
8,9,11,6,24,24,24,24,24,24,24,24,24,18,17,7
8,9,11,6,6,6,6,6,6,6,6,6,24,18,17,7
8,9,11,15,15,15,15,15,15,15,15,6,24,18,17,7
8,9,11,15,5,5,5,5,5,5,5,6,24,18,17,7
8,9,11,15,23,23,23,23,23,23,5,5,23,18,17,7
8,9,11,15,0,0,0,0,0,23,23,23,23,18,17,7
10,9,11,15,22,22,22,22,22,22,22,22,22,18,17,17
10,11,11,15,3,3,3,3,3,3,3,3,4,18,0,17
10,10,10,4,4,4,4,4,4,4,4,4,4,18,0,17
